State,Year,Educational attainment,Total_Thousands,Value in Thousands
KEDAH,2018,Secondary,,569.3
KEDAH,2018,Tertiary,,244.2
KEDAH,2019,No formal education,,15.7
KEDAH,2019,Primary,,97.6
KEDAH,2019,Secondary,,594.3
KEDAH,2019,Tertiary,,242.3
KEDAH,2020,No formal education,,19.3
KEDAH,2020,Primary,,83.9
KEDAH,2020,Secondary,,583.5
KEDAH,2020,Tertiary,,267.8
KEDAH,2021,No formal education,,28.7
KEDAH,2021,Primary,,72
KEDAH,2021,Secondary,,574.9
KEDAH,2021,Tertiary,,297
KELANTAN,2000,No formal education,,50
KELANTAN,2000,Primary,,116.9
KELANTAN,2000,Secondary,,214
KELANTAN,2000,Tertiary,,56.3
KELANTAN,2001,No formal education,,46.8
KELANTAN,2001,Primary,,112.8
KELANTAN,2001,Secondary,,223.2
KELANTAN,2001,Tertiary,,65.2
KELANTAN,2002,No formal education,,46.5
KELANTAN,2002,Primary,,105.1
KELANTAN,2002,Secondary,,222.7
KELANTAN,2002,Tertiary,,65.5
KELANTAN,2003,No formal education,,39.2
KELANTAN,2003,Primary,,114.8
KELANTAN,2003,Secondary,,255.2
KELANTAN,2003,Tertiary,,82.2
KELANTAN,2004,No formal education,,32.3
KELANTAN,2004,Primary,,101.6
KELANTAN,2004,Secondary,,240.6
KELANTAN,2004,Tertiary,,80.6
KELANTAN,2005,No formal education,,36.3
KELANTAN,2005,Primary,,96.2
KELANTAN,2005,Secondary,,243.8
KELANTAN,2005,Tertiary,,77.9
KELANTAN,2006,No formal education,,29.8
KELANTAN,2006,Primary,,98.3
KELANTAN,2006,Secondary,,256.4
KELANTAN,2006,Tertiary,,85.4
KELANTAN,2007,No formal education,,31.9
KELANTAN,2007,Primary,,100.7
KELANTAN,2007,Secondary,,261.8
KELANTAN,2007,Tertiary,,91.8
KELANTAN,2008,No formal education,,32.9
KELANTAN,2008,Primary,,86.2
KELANTAN,2008,Secondary,,267.3
KELANTAN,2008,Tertiary,,114.5
KELANTAN,2009,No formal education,,31.4
KELANTAN,2009,Primary,,83.3
KELANTAN,2009,Secondary,,288.4
KELANTAN,2009,Tertiary,,114.7
KELANTAN,2010,No formal education,,32.1
KELANTAN,2010,Primary,,98.3
KELANTAN,2010,Secondary,,297.4
KELANTAN,2010,Tertiary,,119.5
KELANTAN,2011,No formal education,,29.5
KELANTAN,2011,Primary,,89
KELANTAN,2011,Secondary,,305
KELANTAN,2011,Tertiary,,131.9
KELANTAN,2012,No formal education,,32.3
KELANTAN,2012,Primary,,102.7
KELANTAN,2012,Secondary,,323.5
KELANTAN,2012,Tertiary,,133.8
KELANTAN,2013,No formal education,,31.5
KELANTAN,2013,Primary,,83.8
KELANTAN,2013,Secondary,,367.4
KELANTAN,2013,Tertiary,,137.1
KELANTAN,2014,No formal education,,27.3
KELANTAN,2014,Primary,,83.8
KELANTAN,2014,Secondary,,375.1
KELANTAN,2014,Tertiary,,159.9
KELANTAN,2015,No formal education,,33.1
KELANTAN,2015,Primary,,74.7
KELANTAN,2015,Secondary,,386.8
KELANTAN,2015,Tertiary,,181.5
KELANTAN,2016,No formal education,,34.3
KELANTAN,2016,Primary,,63
KELANTAN,2016,Secondary,,380.2
KELANTAN,2016,Tertiary,,180.3
KELANTAN,2017,No formal education,,29.3
KELANTAN,2017,Primary,,71.1
KELANTAN,2017,Secondary,,413.6
KELANTAN,2017,Tertiary,,187
KELANTAN,2018,No formal education,,29
KELANTAN,2018,Primary,,58.4
KELANTAN,2018,Secondary,,418.3
KELANTAN,2018,Tertiary,,206.2
KELANTAN,2019,No formal education,,26.2
KELANTAN,2019,Primary,,53.2
KELANTAN,2019,Secondary,,423.6
KELANTAN,2019,Tertiary,,207.5
KELANTAN,2020,No formal education,,25.8
KELANTAN,2020,Primary,,50.5
KELANTAN,2020,Secondary,,418.4
KELANTAN,2020,Tertiary,,216.4
KELANTAN,2021,No formal education,,20.1
KELANTAN,2021,Primary,,50.2
KELANTAN,2021,Secondary,,432.5
KELANTAN,2021,Tertiary,,217
MELAKA,2000,No formal education,,7.1
MELAKA,2000,Primary,,50.2
MELAKA,2000,Secondary,,169.6
MELAKA,2000,Tertiary,,30
MELAKA,2001,No formal education,,5
MELAKA,2001,Primary,,48.9
MELAKA,2001,Secondary,,182.7
MELAKA,2001,Tertiary,,36.1
MELAKA,2002,No formal education,,5.7
MELAKA,2002,Primary,,43.3
MELAKA,2002,Secondary,,147.8
MELAKA,2002,Tertiary,,39.4
MELAKA,2003,No formal education,,6.6
MELAKA,2003,Primary,,49.2
MELAKA,2003,Secondary,,182.3
MELAKA,2003,Tertiary,,42.3
MELAKA,2004,No formal education,,6.1
MELAKA,2004,Primary,,45.5
MELAKA,2004,Secondary,,171.6
MELAKA,2004,Tertiary,,46.2
MELAKA,2005,No formal education,,7.4
MELAKA,2005,Primary,,44.5
MELAKA,2005,Secondary,,174.1
MELAKA,2005,Tertiary,,48.4
MELAKA,2006,No formal education,,3.9
MELAKA,2006,Primary,,45.3
MELAKA,2006,Secondary,,171.4
MELAKA,2006,Tertiary,,56.1
MELAKA,2007,No formal education,,5.9
MELAKA,2007,Primary,,44.2
MELAKA,2007,Secondary,,175.1
MELAKA,2007,Tertiary,,65.1
MELAKA,2008,No formal education,,4.4
MELAKA,2008,Primary,,41.9
MELAKA,2008,Secondary,,175
MELAKA,2008,Tertiary,,68.7
MELAKA,2009,No formal education,,6.5
MELAKA,2009,Primary,,37.7
MELAKA,2009,Secondary,,176.1
MELAKA,2009,Tertiary,,70.6
MELAKA,2010,No formal education,,4.9
MELAKA,2010,Primary,,47.3
MELAKA,2010,Secondary,,207.5
MELAKA,2010,Tertiary,,78.9
MELAKA,2011,No formal education,,4.2
MELAKA,2011,Primary,,43
MELAKA,2011,Secondary,,211.8
MELAKA,2011,Tertiary,,84.2
MELAKA,2012,No formal education,,4.3
MELAKA,2012,Primary,,48.1
MELAKA,2012,Secondary,,217.4
MELAKA,2012,Tertiary,,89
MELAKA,2013,No formal education,,3.8
MELAKA,2013,Primary,,48.8
MELAKA,2013,Secondary,,234.7
MELAKA,2013,Tertiary,,91
MELAKA,2014,No formal education,,2.5
MELAKA,2014,Primary,,44.1
MELAKA,2014,Secondary,,244.9
MELAKA,2014,Tertiary,,106.9
MELAKA,2015,No formal education,,4.7
MELAKA,2015,Primary,,37.2
MELAKA,2015,Secondary,,242.7
MELAKA,2015,Tertiary,,117.8
MELAKA,2016,No formal education,,3.6
MELAKA,2016,Primary,,35
MELAKA,2016,Secondary,,245.2
MELAKA,2016,Tertiary,,117
MELAKA,2017,No formal education,,4.1
MELAKA,2017,Primary,,30.3
MELAKA,2017,Secondary,,239.5
MELAKA,2017,Tertiary,,136.3
MELAKA,2018,No formal education,,3.3
MELAKA,2018,Primary,,28.8
MELAKA,2018,Secondary,,244.2
MELAKA,2018,Tertiary,,144.8
MELAKA,2019,No formal education,,2.8
MELAKA,2019,Primary,,30.4
MELAKA,2019,Secondary,,247.2
MELAKA,2019,Tertiary,,152.6
MELAKA,2020,No formal education,,2.5
MELAKA,2020,Primary,,25.2
MELAKA,2020,Secondary,,230.7
MELAKA,2020,Tertiary,,168.3
MELAKA,2021,No formal education,,4.4
MELAKA,2021,Primary,,17.1
MELAKA,2021,Secondary,,248.2
MELAKA,2021,Tertiary,,174.4
N.SEMBILAN,2000,No formal education,,11
N.SEMBILAN,2000,Primary,,88.2
N.SEMBILAN,2000,Secondary,,212
N.SEMBILAN,2000,Tertiary,,48.3
N.SEMBILAN,2001,No formal education,,9
N.SEMBILAN,2001,Primary,,98.7
N.SEMBILAN,2001,Secondary,,201.8
N.SEMBILAN,2001,Tertiary,,53.3
N.SEMBILAN,2002,No formal education,,10.8
N.SEMBILAN,2002,Primary,,85.5
N.SEMBILAN,2002,Secondary,,192.1
N.SEMBILAN,2002,Tertiary,,48.7
N.SEMBILAN,2003,No formal education,,8.7
N.SEMBILAN,2003,Primary,,86.9
N.SEMBILAN,2003,Secondary,,200.9
N.SEMBILAN,2003,Tertiary,,55.8
N.SEMBILAN,2004,No formal education,,8.1
N.SEMBILAN,2004,Primary,,83.5
N.SEMBILAN,2004,Secondary,,217.5
N.SEMBILAN,2004,Tertiary,,64.5
N.SEMBILAN,2005,No formal education,,7.4
N.SEMBILAN,2005,Primary,,77.8
N.SEMBILAN,2005,Secondary,,232.9
N.SEMBILAN,2005,Tertiary,,68.6
N.SEMBILAN,2006,No formal education,,7.8
N.SEMBILAN,2006,Primary,,80.1
N.SEMBILAN,2006,Secondary,,232.8
N.SEMBILAN,2006,Tertiary,,73.9
N.SEMBILAN,2007,No formal education,,7.8
N.SEMBILAN,2007,Primary,,74.2
N.SEMBILAN,2007,Secondary,,233.5
N.SEMBILAN,2007,Tertiary,,80.3
N.SEMBILAN,2008,No formal education,,9.1
N.SEMBILAN,2008,Primary,,72.5
N.SEMBILAN,2008,Secondary,,237.2
N.SEMBILAN,2008,Tertiary,,80.4
N.SEMBILAN,2009,No formal education,,6.9
N.SEMBILAN,2009,Primary,,76.1
N.SEMBILAN,2009,Secondary,,229.8
N.SEMBILAN,2009,Tertiary,,89.5
N.SEMBILAN,2010,No formal education,,7.4
N.SEMBILAN,2010,Primary,,76.6
N.SEMBILAN,2010,Secondary,,238.4
N.SEMBILAN,2010,Tertiary,,95.9
N.SEMBILAN,2011,No formal education,,8.3
N.SEMBILAN,2011,Primary,,70.5
N.SEMBILAN,2011,Secondary,,252.8
N.SEMBILAN,2011,Tertiary,,97.5
N.SEMBILAN,2012,No formal education,,8.9
N.SEMBILAN,2012,Primary,,79.9
N.SEMBILAN,2012,Secondary,,269.4
N.SEMBILAN,2012,Tertiary,,97.5
N.SEMBILAN,2013,No formal education,,9.4
N.SEMBILAN,2013,Primary,,87.6
N.SEMBILAN,2013,Secondary,,269.7
N.SEMBILAN,2013,Tertiary,,112.2
N.SEMBILAN,2014,No formal education,,6.7
N.SEMBILAN,2014,Primary,,82.2
N.SEMBILAN,2014,Secondary,,269
N.SEMBILAN,2014,Tertiary,,123
N.SEMBILAN,2015,No formal education,,6.4
N.SEMBILAN,2015,Primary,,78.2
N.SEMBILAN,2015,Secondary,,278
N.SEMBILAN,2015,Tertiary,,121
N.SEMBILAN,2016,No formal education,,4.1
N.SEMBILAN,2016,Primary,,77.9
N.SEMBILAN,2016,Secondary,,267.3
N.SEMBILAN,2016,Tertiary,,130.4
N.SEMBILAN,2017,No formal education,,3.2
N.SEMBILAN,2017,Primary,,55.2
N.SEMBILAN,2017,Secondary,,289
N.SEMBILAN,2017,Tertiary,,143.9
N.SEMBILAN,2018,No formal education,,5.1
N.SEMBILAN,2018,Primary,,57.9
N.SEMBILAN,2018,Secondary,,290.5
N.SEMBILAN,2018,Tertiary,,150.1
N.SEMBILAN,2019,No formal education,,4.1
N.SEMBILAN,2019,Primary,,38.9
N.SEMBILAN,2019,Secondary,,300.4
N.SEMBILAN,2019,Tertiary,,154.4
N.SEMBILAN,2020,No formal education,,4.4
N.SEMBILAN,2020,Primary,,38.8
N.SEMBILAN,2020,Secondary,,282.6
N.SEMBILAN,2020,Tertiary,,167
N.SEMBILAN,2021,No formal education,,9.7
N.SEMBILAN,2021,Primary,,28.4
N.SEMBILAN,2021,Secondary,,285.2
N.SEMBILAN,2021,Tertiary,,164.4
P.PINANG,2000,No formal education,,19.8
P.PINANG,2000,Primary,,131.9
P.PINANG,2000,Secondary,,425.6
P.PINANG,2000,Tertiary,,105
P.PINANG,2001,No formal education,,15.6
P.PINANG,2001,Primary,,146.2
P.PINANG,2001,Secondary,,442.3
P.PINANG,2001,Tertiary,,129.2
P.PINANG,2002,No formal education,,16.6
P.PINANG,2002,Primary,,110.9
P.PINANG,2002,Secondary,,402.9
P.PINANG,2002,Tertiary,,126.6
P.PINANG,2003,No formal education,,12.6
P.PINANG,2003,Primary,,110.6
P.PINANG,2003,Secondary,,428.3
P.PINANG,2003,Tertiary,,134.9
P.PINANG,2004,No formal education,,11.7
P.PINANG,2004,Primary,,114.9
P.PINANG,2004,Secondary,,391.1
P.PINANG,2004,Tertiary,,118.8
P.PINANG,2005,No formal education,,11.6
P.PINANG,2005,Primary,,101.6
P.PINANG,2005,Secondary,,378
P.PINANG,2005,Tertiary,,142.7
P.PINANG,2006,No formal education,,11
P.PINANG,2006,Primary,,101.6
P.PINANG,2006,Secondary,,398.9
P.PINANG,2006,Tertiary,,147.2
P.PINANG,2007,No formal education,,10.8
P.PINANG,2007,Primary,,97.5
P.PINANG,2007,Secondary,,402.1
P.PINANG,2007,Tertiary,,157.1
P.PINANG,2008,No formal education,,11.3
P.PINANG,2008,Primary,,98.3
P.PINANG,2008,Secondary,,404.2
P.PINANG,2008,Tertiary,,174.6
P.PINANG,2009,No formal education,,11.2
P.PINANG,2009,Primary,,94.4
P.PINANG,2009,Secondary,,415.9
P.PINANG,2009,Tertiary,,185.6
P.PINANG,2010,No formal education,,9.6
P.PINANG,2010,Primary,,99.9
P.PINANG,2010,Secondary,,450.3
P.PINANG,2010,Tertiary,,199.2
P.PINANG,2011,No formal education,,9.7
P.PINANG,2011,Primary,,100.3
P.PINANG,2011,Secondary,,466.6
P.PINANG,2011,Tertiary,,210.8
P.PINANG,2012,No formal education,,8.3
P.PINANG,2012,Primary,,105.1
P.PINANG,2012,Secondary,,469.3
P.PINANG,2012,Tertiary,,213.1
P.PINANG,2013,No formal education,,9.8
P.PINANG,2013,Primary,,111.8
P.PINANG,2013,Secondary,,491.3
P.PINANG,2013,Tertiary,,213.2
P.PINANG,2014,No formal education,,8
P.PINANG,2014,Primary,,85.6
P.PINANG,2014,Secondary,,515.8
P.PINANG,2014,Tertiary,,243.1
P.PINANG,2015,No formal education,,6.4
P.PINANG,2015,Primary,,84.6
P.PINANG,2015,Secondary,,500.1
P.PINANG,2015,Tertiary,,257.1
P.PINANG,2016,No formal education,,5.7
P.PINANG,2016,Primary,,70.7
P.PINANG,2016,Secondary,,495.4
P.PINANG,2016,Tertiary,,273.7
P.PINANG,2017,No formal education,,7.3
P.PINANG,2017,Primary,,77.8
P.PINANG,2017,Secondary,,484.5
P.PINANG,2017,Tertiary,,271.5
P.PINANG,2018,No formal education,,13
P.PINANG,2018,Primary,,72.9
P.PINANG,2018,Secondary,,482.8
P.PINANG,2018,Tertiary,,280.8
P.PINANG,2019,No formal education,,4.9
P.PINANG,2019,Primary,,68.8
P.PINANG,2019,Secondary,,488
P.PINANG,2019,Tertiary,,290.6
P.PINANG,2020,No formal education,,6
P.PINANG,2020,Primary,,45.9
P.PINANG,2020,Secondary,,497.2
P.PINANG,2020,Tertiary,,314.3
P.PINANG,2021,No formal education,,20.3
P.PINANG,2021,Primary,,46.1
P.PINANG,2021,Secondary,,523.5
P.PINANG,2021,Tertiary,,299.5
PAHANG,2000,No formal education,,23.2
PAHANG,2000,Primary,,161.6
PAHANG,2000,Secondary,,220.4
PAHANG,2000,Tertiary,,53.9
PAHANG,2001,No formal education,,24
PAHANG,2001,Primary,,144.2
PAHANG,2001,Secondary,,234.2
PAHANG,2001,Tertiary,,49.3
PAHANG,2002,No formal education,,21.5
PAHANG,2002,Primary,,125.8
PAHANG,2002,Secondary,,223.2
PAHANG,2002,Tertiary,,48.5
PAHANG,2003,No formal education,,22.1
PAHANG,2003,Primary,,138.5
PAHANG,2003,Secondary,,256.8
PAHANG,2003,Tertiary,,59.7
PAHANG,2004,No formal education,,29.3
PAHANG,2004,Primary,,146.4
PAHANG,2004,Secondary,,303.7
PAHANG,2004,Tertiary,,64.6
PAHANG,2005,No formal education,,28.1
PAHANG,2005,Primary,,132
PAHANG,2005,Secondary,,314.9
PAHANG,2005,Tertiary,,67.7
PAHANG,2006,No formal education,,22.6
PAHANG,2006,Primary,,143.5
PAHANG,2006,Secondary,,333.4
PAHANG,2006,Tertiary,,71.8
PAHANG,2007,No formal education,,26.9
PAHANG,2007,Primary,,139.8
PAHANG,2007,Secondary,,326.7
PAHANG,2007,Tertiary,,86.8
PAHANG,2008,No formal education,,25.7
PAHANG,2008,Primary,,136.2
PAHANG,2008,Secondary,,346.8
PAHANG,2008,Tertiary,,97
PAHANG,2009,No formal education,,24.1
PAHANG,2009,Primary,,139
PAHANG,2009,Secondary,,347.4
PAHANG,2009,Tertiary,,111.7
PAHANG,2010,No formal education,,17.6
PAHANG,2010,Primary,,124.5
PAHANG,2010,Secondary,,353.2
PAHANG,2010,Tertiary,,113.1
PAHANG,2011,No formal education,,14.9
PAHANG,2011,Primary,,117.1
PAHANG,2011,Secondary,,372.1
PAHANG,2011,Tertiary,,120.4
PAHANG,2012,No formal education,,15.2
PAHANG,2012,Primary,,125.8
PAHANG,2012,Secondary,,379.8
PAHANG,2012,Tertiary,,130.2
PAHANG,2013,No formal education,,19.1
PAHANG,2013,Primary,,141
PAHANG,2013,Secondary,,381.2
PAHANG,2013,Tertiary,,137.5
PAHANG,2014,No formal education,,14.5
PAHANG,2014,Primary,,138.5
PAHANG,2014,Secondary,,397.2
PAHANG,2014,Tertiary,,151.9
PAHANG,2015,No formal education,,19.6
PAHANG,2015,Primary,,130.5
PAHANG,2015,Secondary,,406
PAHANG,2015,Tertiary,,162
PAHANG,2016,No formal education,,18.1
PAHANG,2016,Primary,,112
PAHANG,2016,Secondary,,407.8
PAHANG,2016,Tertiary,,172.6
PAHANG,2017,No formal education,,14.7
PAHANG,2017,Primary,,106.9
PAHANG,2017,Secondary,,426.2
PAHANG,2017,Tertiary,,163
PAHANG,2018,No formal education,,13.4
PAHANG,2018,Primary,,107.1
PAHANG,2018,Secondary,,439.1
PAHANG,2018,Tertiary,,175.9
PAHANG,2019,No formal education,,12.4
PAHANG,2019,Primary,,101.2
PAHANG,2019,Secondary,,435.6
PAHANG,2019,Tertiary,,191.8
PAHANG,2020,No formal education,,13.5
PAHANG,2020,Primary,,90.1
PAHANG,2020,Secondary,,429.6
PAHANG,2020,Tertiary,,206
PAHANG,2021,No formal education,,17.9
PAHANG,2021,Primary,,69.3
PAHANG,2021,Secondary,,414.9
PAHANG,2021,Tertiary,,227.2
PERAK,2000,No formal education,,37.1
PERAK,2000,Primary,,218.8
PERAK,2000,Secondary,,437.7
PERAK,2000,Tertiary,,77.6
PERAK,2001,No formal education,,29.5
PERAK,2001,Primary,,213.9
PERAK,2001,Secondary,,449.1
PERAK,2001,Tertiary,,68.8
PERAK,2002,No formal education,,33.6
PERAK,2002,Primary,,219.7
PERAK,2002,Secondary,,481.8
PERAK,2002,Tertiary,,85.4
PERAK,2003,No formal education,,23.4
PERAK,2003,Primary,,198.1
PERAK,2003,Secondary,,467.7
PERAK,2003,Tertiary,,82.1
PERAK,2004,No formal education,,30.4
PERAK,2004,Primary,,187.9
PERAK,2004,Secondary,,494.6
PERAK,2004,Tertiary,,103.2
PERAK,2005,No formal education,,29.4
PERAK,2005,Primary,,185.2
PERAK,2005,Secondary,,508.3
PERAK,2005,Tertiary,,105.9
PERAK,2006,No formal education,,25.6
PERAK,2006,Primary,,196.1
PERAK,2006,Secondary,,518.7
PERAK,2006,Tertiary,,105.1
PERAK,2007,No formal education,,25.3
PERAK,2007,Primary,,182.5
PERAK,2007,Secondary,,551.4
PERAK,2007,Tertiary,,118.7
PERAK,2008,No formal education,,27.7
PERAK,2008,Primary,,173.4
PERAK,2008,Secondary,,559.9
PERAK,2008,Tertiary,,131.6
PERAK,2009,No formal education,,27.3
PERAK,2009,Primary,,160
PERAK,2009,Secondary,,572.5
PERAK,2009,Tertiary,,163.9
PERAK,2010,No formal education,,22.5
PERAK,2010,Primary,,159.4
PERAK,2010,Secondary,,562.4
PERAK,2010,Tertiary,,161.8
PERAK,2011,No formal education,,17
PERAK,2011,Primary,,163.9
PERAK,2011,Secondary,,582
PERAK,2011,Tertiary,,181.8
PERAK,2012,No formal education,,13.9
PERAK,2012,Primary,,169.6
PERAK,2012,Secondary,,597.6
PERAK,2012,Tertiary,,174.4
PERAK,2013,No formal education,,16.7
PERAK,2013,Primary,,168.7
PERAK,2013,Secondary,,620.3
PERAK,2013,Tertiary,,179.5
PERAK,2014,No formal education,,11.9
PERAK,2014,Primary,,138.6
PERAK,2014,Secondary,,631.7
PERAK,2014,Tertiary,,205
PERAK,2015,No formal education,,21.2
PERAK,2015,Primary,,141.2
PERAK,2015,Secondary,,628
PERAK,2015,Tertiary,,223.9
PERAK,2016,No formal education,,11.4
PERAK,2016,Primary,,130.4
PERAK,2016,Secondary,,643.7
PERAK,2016,Tertiary,,237.5
PERAK,2017,No formal education,,20.8
PERAK,2017,Primary,,134.7
PERAK,2017,Secondary,,650.1
PERAK,2017,Tertiary,,246.9
PERAK,2018,No formal education,,8.5
PERAK,2018,Primary,,123.9
PERAK,2018,Secondary,,674.9
PERAK,2018,Tertiary,,262.5
PERAK,2019,No formal education,,14.4
PERAK,2019,Primary,,117.3
PERAK,2019,Secondary,,669.9
PERAK,2019,Tertiary,,278.7
PERAK,2020,No formal education,,13.4
PERAK,2020,Primary,,116
PERAK,2020,Secondary,,670.3
PERAK,2020,Tertiary,,296.1
PERAK,2021,No formal education,,20.7
PERAK,2021,Primary,,92.6
PERAK,2021,Secondary,,668.2
PERAK,2021,Tertiary,,319.1
PERLIS,2000,No formal education,,3.6
