State,Year,Educational attainment,Total_Thousands,Value in Thousands,Percentage,Latitude,Longitude,Latitude2,Longitude2
Johor,2004,Tertiary,"1,278.80",169.8,0.133,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2005,No formal education,"1,280.00",34.2,0.027,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2005,Primary,"1,280.00",272.4,0.213,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2005,Secondary,"1,280.00",783.9,0.612,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2005,Tertiary,"1,280.00",189.5,0.148,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2006,No formal education,"1,285.80",28.4,0.022,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2006,Primary,"1,285.80",271.6,0.211,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2006,Secondary,"1,285.80",786.9,0.612,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2006,Tertiary,"1,285.80",198.8,0.155,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2007,No formal education,"1,313.60",29.6,0.023,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2007,Primary,"1,313.60",240.1,0.183,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2007,Secondary,"1,313.60",838.4,0.638,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2007,Tertiary,"1,313.60",205.5,0.156,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2008,No formal education,"1,313.10",36.4,0.028,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2008,Primary,"1,313.10",245,0.187,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2008,Secondary,"1,313.10",799,0.608,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2008,Tertiary,"1,313.10",232.6,0.177,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2009,No formal education,"1,350.00",32.3,0.024,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2009,Primary,"1,350.00",222.4,0.165,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2009,Secondary,"1,350.00",837.4,0.62,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2009,Tertiary,"1,350.00",257.9,0.191,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2010,No formal education,"1,453.50",20.2,0.014,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2010,Primary,"1,453.50",248.3,0.171,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2010,Secondary,"1,453.50",934.1,0.643,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2010,Tertiary,"1,453.50",250.9,0.173,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2011,No formal education,"1,499.90",17,0.011,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2011,Primary,"1,499.90",238.5,0.159,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2011,Secondary,"1,499.90",965.6,0.644,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2011,Tertiary,"1,499.90",278.8,0.186,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2012,No formal education,"1,529.40",19.2,0.013,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2012,Primary,"1,529.40",219.1,0.143,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2012,Secondary,"1,529.40","1,005.20",0.657,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2012,Tertiary,"1,529.40",285.9,0.187,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2013,No formal education,"1,598.90",19.6,0.012,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2013,Primary,"1,598.90",232,0.145,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2013,Secondary,"1,598.90","1,041.00",0.651,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2013,Tertiary,"1,598.90",306.3,0.192,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2014,No formal education,"1,621.10",15.9,0.01,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2014,Primary,"1,621.10",231.3,0.143,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2014,Secondary,"1,621.10","1,031.30",0.636,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2014,Tertiary,"1,621.10",342.7,0.211,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2015,No formal education,"1,633.20",25.5,0.016,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2015,Primary,"1,633.20",220.2,0.135,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2015,Secondary,"1,633.20","1,026.10",0.628,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2015,Tertiary,"1,633.20",361.4,0.221,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2016,No formal education,"1,639.10",20.6,0.013,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2016,Primary,"1,639.10",213.5,0.13,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2016,Secondary,"1,639.10","1,048.50",0.64,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2016,Tertiary,"1,639.10",356.5,0.217,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2017,No formal education,"1,673.80",16.4,0.01,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2017,Primary,"1,673.80",216.6,0.129,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2017,Secondary,"1,673.80","1,041.60",0.622,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2017,Tertiary,"1,673.80",399.2,0.238,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2018,No formal education,"1,745.10",20.1,0.012,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2018,Primary,"1,745.10",214.4,0.123,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2018,Secondary,"1,745.10","1,067.10",0.611,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2018,Tertiary,"1,745.10",443.4,0.254,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2019,No formal education,"1,805.70",25.3,0.014,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2019,Primary,"1,805.70",220.6,0.122,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2019,Secondary,"1,805.70","1,124.20",0.623,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2019,Tertiary,"1,805.70",435.6,0.241,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2020,No formal education,1840.6,21.1,0.011,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2020,Primary,1840.6,135.7,0.074,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2020,Secondary,1840.6,1230.2,0.668,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2020,Tertiary,1840.6,453.6,0.246,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2021,No formal education,1835,36.4,0.02,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2021,Primary,1835,124.3,0.068,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2021,Secondary,1835,1153.3,0.629,2.0229012,103.3147721,1.0229012,104.3147721
Johor,2021,Tertiary,1835,521,0.284,2.0229012,103.3147721,1.0229012,104.3147721
Kedah,2000,No formal education,645.2,34.9,0.054,6,100.5,6.7,101.2
Kedah,2000,Primary,645.2,173.5,0.269,6,100.5,6.7,101.2
Kedah,2000,Secondary,645.2,353.9,0.549,6,100.5,6.7,101.2
Kedah,2000,Tertiary,645.2,82.8,0.128,6,100.5,6.7,101.2
Kedah,2001,No formal education,727.4,31,0.043,6,100.5,6.7,101.2
Kedah,2001,Primary,727.4,201.7,0.277,6,100.5,6.7,101.2
Kedah,2001,Secondary,727.4,411.7,0.566,6,100.5,6.7,101.2
Kedah,2001,Tertiary,727.4,82.6,0.114,6,100.5,6.7,101.2
Kedah,2002,No formal education,666.5,32.3,0.048,6,100.5,6.7,101.2
Kedah,2002,Primary,666.5,181.3,0.272,6,100.5,6.7,101.2
Kedah,2002,Secondary,666.5,372.6,0.559,6,100.5,6.7,101.2
Kedah,2002,Tertiary,666.5,80.3,0.12,6,100.5,6.7,101.2
Kedah,2003,No formal education,680.1,30.6,0.045,6,100.5,6.7,101.2
Kedah,2003,Primary,680.1,157.9,0.232,6,100.5,6.7,101.2
Kedah,2003,Secondary,680.1,389.6,0.573,6,100.5,6.7,101.2
Kedah,2003,Tertiary,680.1,102,0.15,6,100.5,6.7,101.2
Kedah,2004,No formal education,680.3,23.8,0.035,6,100.5,6.7,101.2
Kedah,2004,Primary,680.3,163.7,0.241,6,100.5,6.7,101.2
Kedah,2004,Secondary,680.3,395.9,0.582,6,100.5,6.7,101.2
Kedah,2004,Tertiary,680.3,96.9,0.142,6,100.5,6.7,101.2
Kedah,2005,No formal education,677.8,24.8,0.037,6,100.5,6.7,101.2
Kedah,2005,Primary,677.8,152.5,0.225,6,100.5,6.7,101.2
Kedah,2005,Secondary,677.8,392.6,0.579,6,100.5,6.7,101.2
Kedah,2005,Tertiary,677.8,108,0.159,6,100.5,6.7,101.2
Kedah,2006,No formal education,682.4,20.7,0.03,6,100.5,6.7,101.2
Kedah,2006,Primary,682.4,145.4,0.213,6,100.5,6.7,101.2
Kedah,2006,Secondary,682.4,406.8,0.596,6,100.5,6.7,101.2
Kedah,2006,Tertiary,682.4,109.3,0.16,6,100.5,6.7,101.2
Kedah,2007,No formal education,693.1,23.9,0.034,6,100.5,6.7,101.2
Kedah,2007,Primary,703,138.9,0.198,6,100.5,6.7,101.2
Kedah,2007,Secondary,732.6,413.7,0.565,6,100.5,6.7,101.2
Kedah,2007,Tertiary,746.9,116.6,0.156,6,100.5,6.7,101.2
Kedah,2008,No formal education,703,24.6,0.035,6,100.5,6.7,101.2
Kedah,2008,Primary,810.3,136.6,0.169,6,100.5,6.7,101.2
Kedah,2008,Secondary,862.8,402.2,0.466,6,100.5,6.7,101.2
Kedah,2008,Tertiary,884.1,139.6,0.158,6,100.5,6.7,101.2
Kedah,2009,No formal education,732.6,19.8,0.027,6,100.5,6.7,101.2
Kedah,2009,Primary,910.9,129.3,0.142,6,100.5,6.7,101.2
Kedah,2009,Secondary,932.7,425.7,0.456,6,100.5,6.7,101.2
Kedah,2009,Tertiary,936.7,157.7,0.168,6,100.5,6.7,101.2
Kedah,2010,No formal education,746.9,15.7,0.021,6,100.5,6.7,101.2
Kedah,2010,Primary,954.5,133.9,0.14,6,100.5,6.7,101.2
Kedah,2010,Secondary,972.6,445.8,0.458,6,100.5,6.7,101.2
Kedah,2010,Tertiary,437.2,151.5,0.347,6,100.5,6.7,101.2
Kedah,2011,No formal education,770,15.1,0.02,6,100.5,6.7,101.2
Kedah,2011,Primary,439.7,136.6,0.311,6,100.5,6.7,101.2
Kedah,2011,Secondary,491.6,454.5,0.925,6,100.5,6.7,101.2
Kedah,2011,Tertiary,455.1,163.8,0.36,6,100.5,6.7,101.2
Kedah,2012,No formal education,810.3,21.9,0.027,6,100.5,6.7,101.2
Kedah,2012,Primary,469.8,151.7,0.323,6,100.5,6.7,101.2
Kedah,2012,Secondary,486.2,487.3,1.002,6,100.5,6.7,101.2
Kedah,2012,Tertiary,500.9,149.4,0.298,6,100.5,6.7,101.2
Kedah,2013,No formal education,862.8,21.8,0.025,6,100.5,6.7,101.2
Kedah,2013,Primary,547.2,159,0.291,6,100.5,6.7,101.2
Kedah,2013,Secondary,555.4,512,0.922,6,100.5,6.7,101.2
Kedah,2013,Tertiary,592.3,169.9,0.287,6,100.5,6.7,101.2
Kedah,2014,No formal education,884.1,19.2,0.022,6,100.5,6.7,101.2
Kedah,2014,Primary,646.2,133,0.206,6,100.5,6.7,101.2
Kedah,2014,Secondary,676.2,525.3,0.777,6,100.5,6.7,101.2
Kedah,2014,Tertiary,657.8,206.7,0.314,6,100.5,6.7,101.2
Kedah,2015,No formal education,905.3,27.4,0.03,6,100.5,6.7,101.2
Kedah,2015,Primary,712,126.4,0.178,6,100.5,6.7,101.2
Kedah,2015,Secondary,710.5,540.3,0.76,6,100.5,6.7,101.2
Kedah,2015,Tertiary,711.2,211.2,0.297,6,100.5,6.7,101.2
Kedah,2016,No formal education,910.9,22.9,0.025,6,100.5,6.7,101.2
Kedah,2016,Primary,256.9,126.7,0.493,6,100.5,6.7,101.2
Kedah,2016,Secondary,272.6,547.5,2.008,6,100.5,6.7,101.2
Kedah,2016,Tertiary,236.2,213.9,0.906,6,100.5,6.7,101.2
Kedah,2017,No formal education,932.7,14.5,0.016,6,100.5,6.7,101.2
Kedah,2017,Primary,269.5,113.6,0.422,6,100.5,6.7,101.2
Kedah,2017,Secondary,274.5,585,2.131,6,100.5,6.7,101.2
Kedah,2017,Tertiary,276.7,219.7,0.794,6,100.5,6.7,101.2
Kedah,2018,No formal education,936.7,16,0.017,6,100.5,6.7,101.2
Kedah,2018,Primary,290,107.1,0.369,6,100.5,6.7,101.2
Kedah,2018,Secondary,290.9,569.3,1.957,6,100.5,6.7,101.2
Kedah,2018,Tertiary,338.6,244.2,0.721,6,100.5,6.7,101.2
Kedah,2019,No formal education,950,15.7,0.017,6,100.5,6.7,101.2
Kedah,2019,Primary,358.8,97.6,0.272,6,100.5,6.7,101.2
Kedah,2019,Secondary,378.3,594.3,1.571,6,100.5,6.7,101.2
Kedah,2019,Tertiary,398.3,242.3,0.608,6,100.5,6.7,101.2
Kedah,2020,No formal education,954.5,19.3,0.02,6,100.5,6.7,101.2
Kedah,2020,Primary,400.8,83.9,0.209,6,100.5,6.7,101.2
Kedah,2020,Secondary,410.3,583.5,1.422,6,100.5,6.7,101.2
Kedah,2020,Tertiary,421.2,267.8,0.636,6,100.5,6.7,101.2
Kedah,2021,No formal education,972.6,28.7,0.03,6,100.5,6.7,101.2
Kedah,2021,Primary,426.8,72,0.169,6,100.5,6.7,101.2
Kedah,2021,Secondary,444.1,574.9,1.295,6,100.5,6.7,101.2
Kedah,2021,Tertiary,359.6,297,0.826,6,100.5,6.7,101.2
Kelantan,2000,No formal education,437.2,50,0.114,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2000,Primary,337.2,116.9,0.347,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2000,Secondary,352.3,214,0.607,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2000,Tertiary,373.6,56.3,0.151,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2001,No formal education,448,46.8,0.104,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2001,Primary,394.5,112.8,0.286,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2001,Secondary,395.8,223.2,0.564,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2001,Tertiary,399.3,65.2,0.163,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2002,No formal education,439.7,46.5,0.106,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2002,Primary,418.3,105.1,0.251,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2002,Secondary,429.1,222.7,0.519,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2002,Tertiary,455.7,65.5,0.144,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2003,No formal education,491.6,39.2,0.08,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2003,Primary,480.9,114.8,0.239,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2003,Secondary,483.6,255.2,0.528,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2003,Tertiary,479.7,82.2,0.171,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2004,No formal education,455.1,32.3,0.071,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2004,Primary,503.6,101.6,0.202,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2004,Secondary,497.8,240.6,0.483,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2004,Tertiary,492.8,80.6,0.164,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2005,No formal education,454.2,36.3,0.08,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2005,Primary,682.3,96.2,0.141,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2005,Secondary,733.3,243.8,0.332,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2005,Tertiary,657.2,77.9,0.119,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2006,No formal education,469.8,29.8,0.063,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2006,Primary,636.7,98.3,0.154,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2006,Secondary,634.9,256.4,0.404,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2006,Tertiary,658.9,85.4,0.13,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2007,No formal education,486.2,31.9,0.066,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2007,Primary,688.4,100.7,0.146,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2007,Secondary,707.1,261.8,0.37,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2007,Tertiary,759,91.8,0.121,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2008,No formal education,500.9,32.9,0.066,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2008,Primary,795.8,86.2,0.108,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2008,Secondary,826.1,267.3,0.324,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2008,Tertiary,852.5,114.5,0.134,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2009,No formal education,517.8,31.4,0.061,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2009,Primary,845.5,83.3,0.099,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2009,Secondary,841.1,288.4,0.343,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2009,Tertiary,849.4,114.7,0.135,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2010,No formal education,547.2,32.1,0.059,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2010,Primary,863.4,98.3,0.114,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2010,Secondary,889.5,297.4,0.334,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2010,Tertiary,459.1,119.5,0.26,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2011,No formal education,555.4,29.5,0.053,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2011,Primary,419,89,0.212,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2011,Secondary,477.1,305,0.639,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2011,Tertiary,544,131.9,0.242,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2012,No formal education,592.3,32.3,0.055,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2012,Primary,571.3,102.7,0.18,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2012,Secondary,580.2,323.5,0.558,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2012,Tertiary,605.7,133.8,0.221,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2013,No formal education,619.8,31.5,0.051,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2013,Primary,608.4,83.8,0.138,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2013,Secondary,624.6,367.4,0.588,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2013,Tertiary,650.9,137.1,0.211,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2014,No formal education,646.2,27.3,0.042,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2014,Primary,702.1,83.8,0.119,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2014,Secondary,718.2,375.1,0.522,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2014,Tertiary,710.5,159.9,0.225,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2015,No formal education,676.2,33.1,0.049,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2015,Primary,735.6,74.7,0.102,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2015,Secondary,741,386.8,0.522,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2015,Tertiary,739.1,181.5,0.246,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2016,No formal education,657.8,34.3,0.052,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2016,Primary,771.3,63,0.082,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2016,Secondary,761.3,380.2,0.499,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2016,Tertiary,820.6,180.3,0.22,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2017,No formal education,701,29.3,0.042,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2017,Primary,818.3,71.1,0.087,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2017,Secondary,828.8,413.6,0.499,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2017,Tertiary,845.5,187,0.221,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2018,No formal education,712,29,0.041,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2018,Primary,892.6,58.4,0.065,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2018,Secondary,923.7,418.3,0.453,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2018,Tertiary,906,206.2,0.228,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2019,No formal education,710.5,26.2,0.037,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2019,Primary,955.4,53.2,0.056,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2019,Secondary,985.2,423.6,0.43,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2019,Tertiary,987.2,207.5,0.21,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2020,No formal education,711.2,25.8,0.036,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2020,Primary,"1,023.10",50.5,0.049,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2020,Secondary,"1,052.40",418.4,0.398,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2020,Tertiary,"1,069.80",216.4,0.202,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2021,No formal education,719.8,20.1,0.028,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2021,Primary,1095.8,50.2,0.046,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2021,Secondary,1100.6,432.5,0.393,5.402130199,102.0635972,5.402130199,104.0635972
Kelantan,2021,Tertiary,77,217,2.818,5.402130199,102.0635972,5.402130199,104.0635972
Melaka,2000,No formal education,256.9,7.1,0.028,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2000,Primary,58.8,50.2,0.854,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2000,Secondary,80.1,169.6,2.117,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2000,Tertiary,76.3,30,0.393,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2001,No formal education,272.6,5,0.018,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2001,Primary,77,48.9,0.635,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2001,Secondary,82.5,182.7,2.215,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2001,Tertiary,84,36.1,0.43,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2002,No formal education,236.2,5.7,0.024,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2002,Primary,83.6,43.3,0.518,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2002,Secondary,86.8,147.8,1.703,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2002,Tertiary,90.6,39.4,0.435,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2003,No formal education,280.6,6.6,0.024,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2003,Primary,98.5,49.2,0.499,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2003,Secondary,101.1,182.3,1.803,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2003,Tertiary,103.2,42.3,0.41,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2004,No formal education,269.5,6.1,0.023,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2004,Primary,107.6,45.5,0.423,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2004,Secondary,112.2,171.6,1.529,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2004,Tertiary,110.3,46.2,0.419,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2005,No formal education,274.5,7.4,0.027,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2005,Primary,991.6,44.5,0.045,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2005,Secondary,"1,048.00",174.1,0.166,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2005,Tertiary,"1,093.20",48.4,0.044,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2006,No formal education,276.7,3.9,0.014,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2006,Primary,"1,156.90",45.3,0.039,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2006,Secondary,"1,181.90",171.4,0.145,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2006,Tertiary,"1,230.40",56.1,0.046,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2007,No formal education,290.4,5.9,0.02,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2007,Primary,"1,294.20",44.2,0.034,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2007,Secondary,"1,345.30",175.1,0.13,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2007,Tertiary,"1,480.70",65.1,0.044,2.3293744,102.2880962,1.4293744,101.7880962
Melaka,2008,No formal education,290,4.4,0.015,2.3293744,102.2880962,1.4293744,101.7880962
